ID,Username,Status,Post ID,Post Title,Date / Time,IP,Actions
154,#Guest User,unlike,627,Common Mistakes in a Build Journey,"November 18, 2025 @ 3:17 am",103.81.124.188,
153,#Guest User,unlike,2,New Build Journey,"November 7, 2025 @ 10:42 pm",61.69.231.248,
152,#Guest User,like,391,"Brick, Cladding, Hebel or Otherwise","October 30, 2025 @ 7:45 pm",49.180.144.138,
151,#Guest User,like,2,New Build Journey,"September 30, 2025 @ 1:24 am",110.174.254.6,
150,#Guest User,like,2,New Build Journey,"July 17, 2025 @ 12:07 am",61.69.205.14,
149,#Guest User,like,391,"Brick, Cladding, Hebel or Otherwise","March 18, 2025 @ 11:06 am",165.225.115.66,
148,#Guest User,like,627,Common Mistakes in a Build Journey,"February 28, 2025 @ 10:14 pm",175.36.54.232,
147,#Guest User,like,2,New Build Journey,"February 28, 2025 @ 9:55 pm",175.36.54.232,
146,#Guest User,like,757,What to consider before paying a builder,"February 28, 2025 @ 9:50 pm",175.36.54.232,
124,#Guest User,like,377,New Home Windows,"December 21, 2023 @ 11:11 pm",106.213.81.171,
123,#Guest User,like,872,Electrical Plan and Home Automation,"December 21, 2023 @ 7:46 pm",13.55.252.176,
122,#Guest User,like,1155,Lighting Tips and Ideas for a New Home,"December 21, 2023 @ 7:37 pm",13.55.252.176,
121,#Guest User,like,627,Common Mistakes in a Build Journey,"December 21, 2023 @ 6:29 pm",13.55.252.176,
120,#Guest User,like,358,Builder Inclusions and Selection Options for a New Build,"December 6, 2023 @ 1:49 am",1.146.20.34,
119,#Guest User,like,636,Checking Your House Plans & How to Correctly Read Them,"December 2, 2023 @ 3:54 pm",101.115.11.35,
118,#Guest User,like,469,House Plans,"October 31, 2023 @ 9:52 pm",220.233.167.253,
117,#Guest User,like,2,New Build Journey,"October 31, 2023 @ 8:45 pm",220.233.167.253,
116,#Guest User,like,661,Helpful Home Visualisation Apps,"October 31, 2023 @ 8:29 pm",220.233.167.253,
115,#Guest User,like,1645,Construction Phases for a new build home,"October 31, 2023 @ 8:07 pm",220.233.167.253,
114,#Guest User,like,1396,Builder Margin and Markup with Calculators,"October 31, 2023 @ 8:04 pm",220.233.167.253,
113,#Guest User,like,757,What to consider before paying a builder,"October 31, 2023 @ 8:01 pm",220.233.167.253,
112,#Guest User,like,627,Common Mistakes in a Build Journey,"October 31, 2023 @ 7:48 pm",220.233.167.253,
111,#Guest User,like,403,Comparing Pricing of Tenders against other Builders,"October 31, 2023 @ 7:41 pm",220.233.167.253,
110,#Guest User,like,15,Choosing a New Home Builder,"October 31, 2023 @ 7:41 pm",220.233.167.253,
109,#Guest User,like,358,Builder Inclusions and Selection Options for a New Build,"October 31, 2023 @ 7:27 pm",220.233.167.253,
108,#Guest User,like,2,New Build Journey,"October 29, 2023 @ 11:31 pm",1.146.2.131,
107,#Guest User,like,2,New Build Journey,"October 22, 2023 @ 8:40 am",49.185.49.250,
106,#Guest User,like,403,Comparing Pricing of Tenders against other Builders,"October 18, 2023 @ 6:01 pm",120.17.10.15,
105,#Guest User,like,2,New Build Journey,"October 18, 2023 @ 3:12 pm",159.196.169.163,
104,#Guest User,like,2,New Build Journey,"October 13, 2023 @ 11:19 am",119.18.2.100,
103,#Guest User,like,403,Comparing Pricing of Tenders against other Builders,"September 13, 2023 @ 10:47 pm",111.220.86.131,
102,#Guest User,like,2,New Build Journey,"September 13, 2023 @ 5:47 pm",122.150.51.5,
101,#Guest User,like,11,About,"September 11, 2023 @ 3:01 pm",59.154.177.46,
100,#Guest User,like,391,"Brick, Cladding, Hebel or Otherwise","September 2, 2023 @ 10:04 pm",159.196.169.163,
99,#Guest User,like,403,Comparing Pricing of Tenders against other Builders,"August 30, 2023 @ 1:06 am",116.255.19.91,
98,#Guest User,like,627,Common Mistakes in a Build Journey,"August 25, 2023 @ 6:46 pm",220.240.76.105,
97,#Guest User,like,11,About,"August 25, 2023 @ 6:46 pm",220.240.76.105,
96,#Guest User,like,2,New Build Journey,"August 25, 2023 @ 6:45 pm",220.240.76.105,
95,#Guest User,like,15,Choosing a New Home Builder,"August 22, 2023 @ 9:44 am",203.166.228.233,
94,#Guest User,like,15,Choosing a New Home Builder,"August 22, 2023 @ 9:12 am",120.17.92.149,
93,#Guest User,like,11,About,"August 22, 2023 @ 8:47 am",120.18.19.27,
92,#Guest User,like,15,Choosing a New Home Builder,"August 22, 2023 @ 7:26 am",110.174.25.175,
91,#Guest User,like,391,"Brick, Cladding, Hebel or Otherwise","August 21, 2023 @ 1:05 am",193.115.118.154,
90,#Guest User,like,627,Common Mistakes in a Build Journey,"August 17, 2023 @ 9:59 am",1.145.48.231,
89,#Guest User,like,53,Steel or Timber Frame Comparison,"August 17, 2023 @ 9:21 am",1.145.48.231,
88,#Guest User,like,358,Builder Inclusions and Selection Options for a New Build,"August 15, 2023 @ 9:45 pm",120.159.29.80,
87,#Guest User,like,2,New Build Journey,"August 13, 2023 @ 6:45 pm",193.119.83.132,
86,#Guest User,like,391,"Brick, Cladding, Hebel or Otherwise","August 11, 2023 @ 3:52 pm",203.35.82.136,
85,#Guest User,like,2,New Build Journey,"August 11, 2023 @ 3:27 pm",120.17.28.186,
84,#Guest User,like,377,New Home Windows,"August 11, 2023 @ 2:59 pm",203.35.82.136,
83,#Guest User,like,2,New Build Journey,"August 11, 2023 @ 12:43 pm",125.168.124.13,
82,#Guest User,like,2,New Build Journey,"August 11, 2023 @ 12:12 pm",125.168.185.237,
81,#Guest User,like,1696,Architect Plans – What you get and the important parts,"August 8, 2023 @ 2:37 pm",220.240.60.172,
80,#Guest User,like,21,Budget,"August 7, 2023 @ 3:04 pm",125.168.200.228,
79,#Guest User,like,15,Choosing a New Home Builder,"August 6, 2023 @ 10:50 am",103.51.113.48,
78,#Guest User,like,15,Choosing a New Home Builder,"August 5, 2023 @ 11:35 pm",120.21.42.13,
77,#Guest User,unlike,403,Comparing Pricing of Tenders against other Builders,"July 31, 2023 @ 7:34 pm",1.144.26.25,
76, @user,like,1696,Architect Plans – What you get and the important parts,"July 29, 2023 @ 9:43 am",27.96.195.8,
75,#Guest User,like,11,About,"July 29, 2023 @ 2:11 am",172.225.60.191,
74,#Guest User,like,2,New Build Journey,"July 24, 2023 @ 6:55 pm",119.18.1.167,
73,#Guest User,like,403,Comparing Pricing of Tenders against other Builders,"July 24, 2023 @ 6:54 pm",119.18.1.167,
72,#Guest User,like,358,Builder Inclusions and Selection Options for a New Build,"July 23, 2023 @ 9:58 am",218.214.26.200,
71,#Guest User,like,2,New Build Journey,"July 9, 2023 @ 11:19 am",49.184.242.34,
70,#Guest User,like,11,About,"July 9, 2023 @ 11:17 am",49.184.242.34,
69,#Guest User,like,377,New Home Windows,"June 13, 2023 @ 10:10 pm",159.196.170.16,
68,#Guest User,like,2,New Build Journey,"June 11, 2023 @ 4:42 pm",49.179.69.140,
67,#Guest User,like,15,Choosing a New Home Builder,"June 8, 2023 @ 7:40 pm",58.179.190.205,
66,#Guest User,like,11,About,"June 4, 2023 @ 11:02 pm",58.106.128.233,
65,#Guest User,like,403,Comparing Pricing of Tenders against other Builders,"May 30, 2023 @ 8:51 pm",159.196.168.131,
64,#Guest User,like,403,Comparing Pricing of Tenders against other Builders,"May 1, 2023 @ 7:45 am",115.70.22.52,
63,#Guest User,like,11,About,"April 27, 2023 @ 2:12 am",110.174.224.118,
62,#Guest User,like,21,Budget,"April 22, 2023 @ 10:35 am",49.181.220.151,
61,#Guest User,like,2,New Build Journey,"April 19, 2023 @ 10:25 pm",125.168.203.102,
60,#Guest User,like,21,Budget,"April 18, 2023 @ 11:14 pm",110.174.224.118,
59,#Guest User,like,2,New Build Journey,"April 15, 2023 @ 11:01 pm",120.18.37.199,
58,#Guest User,like,872,Electrical Plan and Home Automation,"April 15, 2023 @ 10:56 pm",120.18.37.199,
57,#Guest User,like,1155,Lighting Tips and Ideas for a New Home,"April 15, 2023 @ 10:56 pm",120.18.37.199,
56,#Guest User,like,2,New Build Journey,"April 15, 2023 @ 11:09 am",193.115.85.140,
55,#Guest User,like,403,Comparing Pricing of Tenders against other Builders,"April 7, 2023 @ 10:13 pm",120.17.138.218,
54,#Guest User,like,15,Choosing a New Home Builder,"April 7, 2023 @ 10:08 pm",120.17.138.218,
53,#Guest User,unlike,2,New Build Journey,"April 3, 2023 @ 12:52 am",1.145.36.189,
52,#Guest User,like,2,New Build Journey,"March 18, 2023 @ 9:35 pm",120.21.86.14,
51,#Guest User,like,403,Comparing Pricing of Tenders against other Builders,"March 7, 2023 @ 9:35 pm",110.21.76.199,
50,#Guest User,like,2,New Build Journey,"March 7, 2023 @ 8:45 pm",110.21.76.199,
49,#Guest User,like,20,Architect Plan (Replaced),"March 3, 2023 @ 5:40 pm",220.245.130.116,
48,#Guest User,like,391,"Brick, Cladding, Hebel or Otherwise","January 7, 2023 @ 11:54 am",122.107.72.243,
47,#Guest User,like,757,What to consider before paying a builder,"January 7, 2023 @ 11:48 am",122.107.72.243,
46,#Guest User,like,627,Common Mistakes in a Build Journey,"January 7, 2023 @ 11:40 am",122.107.72.243,
45,#Guest User,like,403,Comparing Pricing of Tenders against other Builders,"January 2, 2023 @ 4:02 pm",220.240.150.6,
44,#Guest User,like,358,Builder Inclusions and Selection Options for a New Build,"December 21, 2022 @ 11:21 am",210.84.30.172,
43,#Guest User,like,377,New Home Windows,"December 12, 2022 @ 9:49 am",58.110.193.185,
42,#Guest User,like,11,About,"December 2, 2022 @ 2:22 am",122.107.72.243,
41,#Guest User,like,2,New Build Journey,"November 28, 2022 @ 7:15 am",27.115.124.70,
40,#Guest User,like,2,New Build Journey,"November 22, 2022 @ 1:44 pm",180.163.220.114,
39,#Guest User,like,358,Builder Inclusions and Selection Options for a New Build,"November 22, 2022 @ 10:32 am",210.84.5.113,
38,#Guest User,like,358,Builder Inclusions and Selection Options for a New Build,"November 6, 2022 @ 11:19 am",118.211.18.236,
37,#Guest User,like,11,About,"October 27, 2022 @ 9:02 am",1.145.20.74,
36,#Guest User,like,2,New Build Journey,"October 9, 2022 @ 9:29 am",58.106.40.80,
35,#Guest User,like,2,New Build Journey,"October 4, 2022 @ 11:04 pm",119.18.0.89,
34,#Guest User,like,21,Budget,"October 4, 2022 @ 10:59 pm",119.18.0.89,
33,#Guest User,like,757,What to consider before paying a builder,"September 12, 2022 @ 7:04 am",60.240.64.16,
32,#Guest User,like,458,How to save on costs,"September 12, 2022 @ 6:52 am",60.240.64.16,
31,#Guest User,like,2,New Build Journey,"September 11, 2022 @ 6:48 am",60.240.64.16,
30,#Guest User,like,282,Conflict Resolution,"September 11, 2022 @ 6:46 am",60.240.64.16,
29,#Guest User,like,403,Comparing Pricing of Tenders against other Builders,"September 11, 2022 @ 6:26 am",60.240.64.16,
28,#Guest User,like,15,Choosing a New Home Builder,"September 11, 2022 @ 6:24 am",60.240.64.16,
27,#Guest User,like,769,Great Sources of Information for building a New Home,"September 11, 2022 @ 6:15 am",60.240.64.16,
26,#Guest User,like,659,Getting Inspiration,"September 11, 2022 @ 6:15 am",60.240.64.16,
25,#Guest User,like,909,Knowing what you can build,"September 11, 2022 @ 6:10 am",60.240.64.16,
24,#Guest User,like,21,Budget,"September 11, 2022 @ 4:58 am",60.240.64.16,
23,#Guest User,like,358,Builder Inclusions and Selection Options for a New Build,"September 11, 2022 @ 4:35 am",60.240.64.16,
22,#Guest User,unlike,15,Choosing a New Home Builder,"September 7, 2022 @ 5:42 pm",114.129.19.163,
21,#Guest User,like,292,Soundproofing your House,"September 5, 2022 @ 9:02 am",1.129.111.173,
20,#Guest User,like,391,"Brick, Cladding, Hebel or Otherwise","September 1, 2022 @ 12:24 pm",14.200.250.56,
19,#Guest User,like,358,Builder Inclusions and Selection Options for a New Build,"September 1, 2022 @ 12:10 pm",120.147.5.1,
18,#Guest User,like,11,About,"September 1, 2022 @ 8:23 am",14.200.250.56,
17,#Guest User,like,358,Builder Inclusions and Selection Options for a New Build,"August 31, 2022 @ 9:18 am",1.144.107.126,
16,#Guest User,like,377,New Home Windows,"August 25, 2022 @ 9:17 pm",14.200.84.129,
15,#Guest User,like,20,Architect Plan (Replaced),"August 25, 2022 @ 8:57 pm",14.200.84.129,
14,#Guest User,like,377,New Home Windows,"August 23, 2022 @ 1:28 pm",103.246.7.191,
13,#Guest User,like,403,Comparing Pricing of Tenders against other Builders,"August 20, 2022 @ 12:26 pm",101.190.16.139,
12,#Guest User,like,458,How to save on costs,"August 15, 2022 @ 4:04 am",1.145.73.71,
11,#Guest User,like,21,Budget,"August 13, 2022 @ 11:51 pm",120.147.5.1,
10,#Guest User,like,358,Builder Inclusions and Selection Options for a New Build,"August 10, 2022 @ 10:14 am",203.219.173.12,
9,#Guest User,like,21,Budget,"August 10, 2022 @ 9:46 am",49.189.247.10,
8,#Guest User,like,403,Comparing Pricing of Tenders against other Builders,"August 4, 2022 @ 1:18 pm",202.159.160.77,
7,#Guest User,like,21,Budget,"July 30, 2022 @ 12:17 pm",220.235.8.20,
6,#Guest User,like,2,New Build Journey,"July 30, 2022 @ 12:07 pm",220.235.8.20,
5,#Guest User,like,358,Builder Inclusions and Selection Options for a New Build,"July 29, 2022 @ 12:12 am",14.201.231.52,
4,#Guest User,like,21,Budget,"June 12, 2022 @ 1:41 am",103.217.167.197,
3,#Guest User,like,21,Budget,"April 20, 2022 @ 12:11 am",134.148.222.251,
2,#Guest User,like,16,Custom or Project Build,"April 19, 2022 @ 4:18 am",1.144.111.32,
1,#Guest User,like,358,Builder Inclusions and Selection Options for a New Build,"April 17, 2022 @ 9:33 pm",49.2.149.53,
